problem,algorithm,time-required,space-required,solution,optimal-solution,solution-quality,problem-size
rat575,christofides,8.50748348236084,20456.0,7737.556556453064,6773,0.1246590638033697,575
rat575,twice-around-the-tree,0.3756277561187744,18408.0,9438.933433360664,6773,0.2824401138308989,575
rat783,christofides,21.70295286178589,27896.0,10145.543599522043,8806,0.1320327083888486,783
rat783,twice-around-the-tree,0.771843671798706,25064.0,12054.453156740949,8806,0.2694815861410011,783
rat99,christofides,0.0440647602081298,3480.0,1339.1576769339454,1211,0.0957002145015271,99
rat99,twice-around-the-tree,0.0093050003051757,3176.0,1723.2250451508614,1211,0.2972479111722858,99
rd100,christofides,0.0703265666961669,3608.0,8932.645184239827,7910,0.1144840260804398,100
rd100,twice-around-the-tree,0.0097126960754394,3208.0,10791.655815950702,7910,0.2670262900426685,100
rd400,christofides,3.175586700439453,14248.0,17345.83497753085,15281,0.1190392379614794,400
rd400,twice-around-the-tree,0.1681814193725586,12808.0,20250.376744292647,15281,0.2453967551834912,400
rl11849,christofides,1800.0,,,923288,,11849
rl11849,twice-around-the-tree,311.19070267677307,379176.0,1351628.812671623,923288,0.3169071335679553,11849
rl1304,christofides,62.36202931404114,43784.0,279362.18883039244,252948,0.0945517678715967,1304
rl1304,twice-around-the-tree,2.365128517150879,41736.0,347782.57034149766,252948,0.2726835052382783,1304
rl1323,christofides,64.58919072151184,44440.0,300261.09735081194,270199,0.1001198544068754,1323
rl1323,twice-around-the-tree,2.533910751342773,42344.0,380421.587604229,270199,0.2897379938356676,1323
rl1889,christofides,192.5106718540192,63592.0,346820.621567422,316536,0.0873207061060948,1889
rl1889,twice-around-the-tree,5.667872905731201,60456.0,449811.4881732208,316536,0.2962918726564336,1889
rl5915,christofides,1800.0,,,565530,,5915
rl5915,twice-around-the-tree,63.9037230014801,189288.0,840348.3558001819,565530,0.3270290872866635,5915
rl5934,christofides,1800.0,,,556045,,5934
rl5934,twice-around-the-tree,64.8038740158081,189896.0,827482.3360284586,556045,0.328027952030052,5934
ts225,christofides,0.2894515991210937,7544.0,133282.1703627935,126643,0.0498128920374097,225
ts225,twice-around-the-tree,0.0562877655029296,7208.0,188009.70162933244,126643,0.3264017819161215,225
tsp225,christofides,0.4250102043151855,7864.0,4372.193313361265,3916,0.1043396942141497,225
tsp225,twice-around-the-tree,0.0556015968322753,7208.0,5115.932581284439,3916,0.2345481614973073,225
u1060,christofides,49.07269167900085,37544.0,251198.22454233345,224094,0.1078997456758126,1060
u1060,twice-around-the-tree,1.4860374927520752,33928.0,302914.8663669418,224094,0.2602079828972824,1060
u1432,christofides,99.54082489013672,50344.0,172954.96807493852,152970,0.1155501243900629,1432
u1432,twice-around-the-tree,2.8392333984375,45832.0,214430.780547912,152970,0.2866229390709106,1432
u159,christofides,0.1644742488861084,5624.0,47538.18669399804,42080,0.1148168887705421,159
u159,twice-around-the-tree,0.023029088973999,5096.0,57787.974410195486,42080,0.2718208168830389,159
u1817,christofides,181.1581835746765,62664.0,66919.75995532992,57201,0.145230048072757,1817
u1817,twice-around-the-tree,4.860814332962036,58152.0,83501.55577440909,57201,0.3149708473152722,1817
u2152,christofides,293.49701380729675,73992.0,73514.89190589965,64253,0.1259866085058662,2152
u2152,twice-around-the-tree,7.201378107070923,68872.0,95076.21583494876,64253,0.3241948111235044,2152
u2319,christofides,535.8078904151917,84840.0,274954.438504778,234256,0.1480188453261529,2319
u2319,twice-around-the-tree,8.302314519882202,74216.0,320532.84102777723,234256,0.2691669307617079,2319
u574,christofides,7.914149761199951,20280.0,41642.91728025676,36905,0.1137748647235874,574
u574,twice-around-the-tree,0.3706812858581543,18376.0,49083.15193822763,36905,0.2481126711983398,574
u724,christofides,15.771825075149536,25608.0,47560.99440743132,41910,0.1188157328886369,724
u724,twice-around-the-tree,0.6318192481994629,23176.0,57779.66789292217,41910,0.2746583438716191,724
usa13509,christofides,1800.0,,,19982859,,13509
usa13509,twice-around-the-tree,410.8747928142548,432296.0,27963481.77156513,19982859,0.2853944597013769,13509
vm1084,christofides,43.02623391151428,37512.0,267200.3656625389,239297,0.1044286207967975,1084
vm1084,twice-around-the-tree,1.6185855865478516,34696.0,315268.3487491507,239297,0.2409735993180804,1084
vm1748,christofides,181.29054951667786,60376.0,381825.1182400613,336556,0.11855982248815713,1748
vm1748,twice-around-the-tree,4.749220371246338,55944.0,444658.6319423448,336556,0.2431137600323512,1748
